state,region,sex,marital_status,no_of_active_loan_in_bureau,avg_disbursement_amount_bureau,non_agriculture_income,total_land_for_agriculture,k022_village_category_based_on_agri_parameters_good_average_poor,k022_proximity_to_nearest_mandi_km,k022_proximity_to_nearest_railway_km,ko22_village_score_based_on_socio_economic_parameters_0_to_100,k022_village_category_based_on_socio_economic_parameters_good_average_poor,k022_seasonal_average_rainfall_mm,r022_village_category_based_on_agri_parameters_good_average_poor,r022_seasonal_average_rainfall_mm,k021_seasonal_average_rainfall_mm,r021_seasonal_average_rainfall_mm,r020_seasonal_average_rainfall_mm,perc_of_house_with_6plus_room,women_15_19_mothers_or_pregnant_at_time_of_survey,perc_of_pop_living_in_hh_electricity,perc_households_with_pucca_house_that_has_more_than_3_rooms,mat_roof_metal_gi_asbestos_sheets,perc_of_wall_material_with_burnt_brick,households_with_improved_sanitation_facility,perc_households_do_not_have_kcc_with_the_credit_limit_of_50k,k022_total_geographical_area_in_hectares,k022_net_agri_area_in_ha,k022_net_agri_area_of_total_geog_area,kharif_seasons_irrigated_area_in_2022,kharif_seasons_cropping_density_in_2022,kharif_seasons_agricultural_performance_in_2022,kharif_seasons_agricultural_score_in_2022,kharif_seasons_type_of_soil_in_2022,kharif_seasons_type_of_water_bodies_in_hectares_2022,kharif_seasons_agro_ecological_sub_zone_in_2022,kharif_seasons_seasonal_average_groundwater_thickness_cm_in_2022,kharif_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2022,rabi_seasons_season_irrigated_area_in_2022,rabi_seasons_cropping_density_in_2022,rabi_seasons_agricultural_performance_in_2022,rabi_seasons_agricultural_score_in_2022,rabi_seasons_type_of_soil_in_2022,rabi_seasons_type_of_water_bodies_in_hectares_2022,rabi_seasons_agro_ecological_sub_zone_in_2022,rabi_seasons_seasonal_average_groundwater_thickness_cm_in_2022,rabi_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2022,rabi_seasons_kharif_season_irrigated_area_in_2021,rabi_seasons_cropping_density_in_2021,rabi_seasons_agricultural_performance_in_2021,rabi_seasons_agricultural_score_in_2021,rabi_seasons_type_of_soil_in_2021,rabi_seasons_type_of_water_bodies_in_hectares_2021,rabi_seasons_agro_ecological_sub_zone_in_2021,rabi_seasons_seasonal_average_groundwater_thickness_cm_in_2021,rabi_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2021,kharif_seasons_kharif_season_irrigated_area_in_2021,kharif_seasons_cropping_density_in_2021,kharif_seasons_agricultural_performance_in_2021,kharif_seasons_agricultural_score_in_2021,kharif_seasons_type_of_soil_in_2021,kharif_seasons_type_of_water_bodies_in_hectares_2021,kharif_seasons_agro_ecological_sub_zone_in_2021,kharif_seasons_seasonal_average_groundwater_thickness_cm_in_2021,kharif_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2021,kharif_seasons_kharif_season_irrigated_area_in_2020,kharif_seasons_cropping_density_in_2020,kharif_seasons_agricultural_performance_in_2020,kharif_seasons_agricultural_score_in_2020,kharif_seasons_type_of_soil_in_2020,kharif_seasons_type_of_water_bodies_in_hectares_2020,kharif_seasons_agro_ecological_sub_zone_in_2020,kharif_seasons_seasonal_average_groundwater_thickness_cm_in_2020,kharif_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2020,rabi_seasons_kharif_season_irrigated_area_in_2020,rabi_seasons_cropping_density_in_2020,rabi_seasons_agricultural_performance_in_2020,rabi_seasons_agricultural_score_in_2020,rabi_seasons_type_of_soil_in_2020,rabi_seasons_type_of_water_bodies_in_hectares_2020,rabi_seasons_agro_ecological_sub_zone_in_2020,rabi_seasons_seasonal_average_groundwater_thickness_cm_in_2020,rabi_seasons_seasonal_average_groundwater_replenishment_rate_cm_in_2020,night_light_index,village_score_based_on_socio_economic_parameters_non_normalised,village_score_based_on_socio_economic_parameters_0_to_100,village_category_based_on_socio_economic_parameters_good_average_poor,land_holding_index_source_total_agri_area_no_of_people,road_density_km_sqkm,target_income,k022_ambient_temperature_min_max_min,k022_ambient_temperature_min_max_max,k022_ambient_temperature_min_max_range,r022_ambient_temperature_min_max_min,r022_ambient_temperature_min_max_max,r022_ambient_temperature_min_max_range,r021_ambient_temperature_min_max_min,r021_ambient_temperature_min_max_max,r021_ambient_temperature_min_max_range,k021_ambient_temperature_min_max_min,k021_ambient_temperature_min_max_max,k021_ambient_temperature_min_max_range,r020_ambient_temperature_min_max_min,r020_ambient_temperature_min_max_max,r020_ambient_temperature_min_max_range,location_latitude,location_longitude
MADHYA PRADESH,CENTRAL,M,M,2,234300.0,0,15.0,Poor,10.2,9.0,37.67558773889672,Poor,1537.53,Average,62.46,882.47,136.73,276.27,2.22,6.5,99.0,2.58,1.03,39.33,77.0,5.79,283.3,230.45,81.34,67.95,76.21,26.89,30.26,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.09,26.37,89.64,86.76,32.74,33.19,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.19,13.66,53.33,37.08,28.6,30.04,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,91.03,16.6,89.64,86.76,8.12,20.95,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.9,20.72,53.33,37.08,17.64,21.21,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,97.57,23.12,76.45,12.42,20.69,24.05,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,96.85,19.01,0.89,24.9399914859944,37.67558773889672,Poor,0.430787924105057,0.0,0,23.44,30.59,7.149999999999999,15.71,28.67,12.96,16.24,29.79,13.55,23.58,30.24,6.66,16.1,28.23,12.129999999999999,,
MADHYA PRADESH,CENTRAL,M,M,0,,12445000,3.0,Poor,5.3,18.8,42.79213600756612,Average,2053.08,Poor,57.64,1146.93,159.41,118.58,1.26,1.71,99.3,2.68,4.13,22.76,69.67,9.63,1799.36,562.47,31.26,84.94,56.31,14.03,29.71,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,101.81,32.9,59.05,37.33,16.51,20.57,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.81,19.55,86.01,69.51,13.79,35.62,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.25,19.03,59.05,37.33,10.06,16.93,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.87,32.57,86.01,69.51,4.91,25.47,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.74,28.21,37.93,39.92,10.21,13.45,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.61,27.83,0.95,28.0970997638565,42.79213600756612,Average,0.289226323313142,1.86,14000000,23.35,30.55,7.199999999999999,15.94,28.51,12.570000000000002,15.98,29.11,13.129999999999999,23.35,30.05,6.699999999999999,15.76,27.48,11.72,23.2502377,77.9338209
TELANGANA,SOUTH,M,M,4,1370014.5,3700000,10.0,Poor,6.7,8.6,40.52715294564354,Poor,2339.7,Poor,66.41,1324.85,50.5,239.46,0.67,5.8,99.6,4.07,17.98,61.09,76.2,0.13,541.98,457.41,84.4,31.45,20.57,38.27,26.3,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,91.9,42.26,14.47,48.25,25.74,16.29,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,78.28,22.35,13.9,70.42,33.23,25.75,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,78.79,29.47,14.47,48.25,22.36,13.47,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,80.38,31.06,3.1,29.93,12.85,7.3,Shallow Black Soils (with medium and deep Black Soils as  inclusion),['water'],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,82.43,35.13,2.05,7.42,11.87,6.88,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,77.87,22.14,0.92,26.6995175661471,40.52715294564354,Poor,0.760107682337106,0.0,16000000,23.5,29.8,6.300000000000001,19.59,30.46,10.870000000000001,19.37,30.99,11.619999999999997,23.36,29.36,6.0,20.14,30.08,9.939999999999998,,
MADHYA PRADESH,CENTRAL,M,M,0,,22770000,7.0,Poor,15.9,26.9,32.36615322003485,Average,1858.47,Poor,145.85,771.85,110.83,560.43,0.93,3.3,98.9,2.64,0.93,13.67,77.1,2.24,426.99,193.54,45.33,50.03,35.8,20.5,22.53,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.41,30.65,31.62,25.1,24.32,18.01,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,89.39,13.8,30.55,6.45,14.07,15.04,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,89.74,21.63,31.62,25.1,1.63,7.18,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,90.55,22.54,30.55,6.45,8.64,11.7,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.77,26.99,27.99,28.34,21.41,15.3,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.41,19.32,0.92,21.6638649276057,32.36615322003485,Average,0.221155714008204,0.0,25300000,21.93,28.21,6.280000000000001,16.42,28.09,11.669999999999998,16.76,28.8,12.04,21.83,27.92,6.090000000000003,15.8,26.53,10.73,,
MADHYA PRADESH,CENTRAL,M,M,4,15000.0,9776500,3.0,Average,14.9,13.1,33.44921507901788,Poor,2246.31,Average,63.91,1141.05,191.84,94.58,3.29,5.08,98.42,2.78,6.77,36.34,65.14,8.45,1106.56,899.58,81.3,67.54,43.2,40.12,37.68,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,102.29,29.85,92.06,73.14,38.32,38.1,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,95.79,16.84,91.51,48.36,20.22,38.89,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,94.68,17.7,92.06,73.14,17.86,27.39,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.34,29.9,91.51,48.36,39.39,41.37,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.99,26.48,91.41,59.6,24.35,30.71,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,100.95,25.95,0.95,22.3321560060599,33.44921507901788,Poor,1.95978388741231,0.0,11000000,23.23,30.74,7.509999999999998,15.49,28.61,13.12,15.24,28.83,13.589999999999998,23.32,30.2,6.879999999999999,15.56,27.71,12.15,23.517955,77.8130003
MADHYA PRADESH,CENTRAL,M,M,2,250949.0,3528000,12.0,Poor,6.8,3.4,40.63715903498508,Average,1520.39,Poor,161.04,1408.94,201.03,116.92,3.21,7.69,98.6,2.15,3.47,20.97,53.83,6.75,525.84,373.2,70.97,65.09,70.15,22.04,27.76,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.79,19.58,97.0,58.12,25.16,31.3,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,91.78,13.02,81.72,76.09,20.47,37.53,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,90.41,12.91,97.0,58.12,11.18,24.0,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,92.62,23.69,81.72,76.09,11.77,26.58,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,91.8,18.31,90.89,80.41,12.28,24.07,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.67,19.7,0.87,26.7673955801985,40.63715903498508,Average,0.756077795786062,0.0,10000000,23.26,30.46,7.199999999999999,15.09,27.63,12.54,15.59,28.65,13.059999999999999,23.62,30.56,6.939999999999998,14.98,26.59,11.61,,
MAHARASHTRA,WEST,M,M,0,,0,17.0,Average,1.5,0.0,46.01525460229015,Average,1286.72,Poor,175.19,655.12,123.11,83.25,1.73,14.0,95.3,7.83,46.44,45.08,68.3,0.95,1027.81,835.32,81.27,50.34,76.34,55.39,40.07,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,98.89,33.69,14.76,64.25,40.89,24.6,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,93.33,20.83,87.95,48.35,33.94,43.86,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,91.89,25.81,14.76,64.25,18.03,12.78,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,95.15,28.09,87.95,48.35,55.33,46.59,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,100.18,33.05,87.75,75.63,37.7,35.75,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,95.88,29.64,0.96,30.085888662467,46.01525460229015,Average,0.215748515521485,2.07,100000,21.54,27.94,6.400000000000002,17.59,29.66,12.07,18.21,30.61,12.399999999999999,21.54,27.95,6.41,17.81,29.57,11.760000000000002,20.1416727,74.229613
MADHYA PRADESH,CENTRAL,M,S,0,,14269000,11.0,Poor,14.1,12.8,34.29728836504625,Average,1858.47,Poor,145.85,771.85,110.83,560.43,2.76,3.3,98.9,3.9,17.41,32.14,77.1,2.79,835.88,635.05,75.97,46.45,52.0,42.45,32.66,Mixed Red and Black Soils,['riverbank'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.41,30.65,49.44,64.07,27.95,24.45,Mixed Red and Black Soils,['riverbank'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,89.39,13.8,39.64,61.65,17.65,25.1,Mixed Red and Black Soils,['riverbank'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,89.74,21.63,49.44,64.07,3.59,12.63,Mixed Red and Black Soils,['riverbank'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,90.55,22.54,39.64,61.65,5.85,14.3,Mixed Red and Black Soils,['riverbank'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.77,26.99,28.53,53.07,21.22,16.76,Mixed Red and Black Soils,['riverbank'],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,98.41,19.32,0.94,22.8554500416012,34.29728836504625,Average,0.552236599533897,0.0,17000000,21.93,28.21,6.280000000000001,16.42,28.09,11.669999999999998,16.76,28.8,12.04,21.83,27.92,6.090000000000003,15.8,26.53,10.73,22.0883563,78.6456232
MADHYA PRADESH,CENTRAL,M,M,4,376242.5,10630400,3.0,Average,9.7,6.5,38.20445145506407,Poor,1976.51,Average,83.71,1089.49,210.81,71.24,1.4,5.1,98.4,4.91,1.88,21.87,65.1,13.31,1030.02,838.72,81.43,68.03,43.22,43.39,39.08,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.89,25.97,92.62,93.21,46.56,41.99,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,94.97,15.18,96.26,64.26,22.47,42.34,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.8,15.84,92.62,93.21,31.12,32.93,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,97.22,26.84,96.26,64.26,49.44,46.42,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,97.72,22.94,97.07,74.39,28.41,33.48,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.14,23.01,0.95,25.2663208644148,38.20445145506407,Poor,0.912962076022119,0.0,12000000,23.34,30.95,7.609999999999999,15.09,28.48,13.39,14.86,28.62,13.760000000000002,23.47,30.5,7.030000000000001,15.31,27.71,12.4,,
MADHYA PRADESH,CENTRAL,M,M,5,540000.0,32900000,20.0,Poor,10.5,35.5,37.91230516965388,Average,1895.8,Poor,104.9,1060.04,126.99,51.46,2.25,2.2,99.6,8.08,17.07,41.91,69.6,15.45,1506.8,1070.63,71.05,74.36,62.09,12.25,27.71,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,99.51,26.67,75.25,83.24,22.14,27.87,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,95.78,16.35,51.43,57.84,33.14,35.79,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,93.87,16.81,75.25,83.24,29.83,29.78,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,96.89,27.53,51.43,57.84,28.96,27.64,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,96.7,22.46,63.4,57.77,16.44,22.5,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,101.63,28.35,0.88,25.0860553010734,37.91230516965388,Average,1.99807774853965,2.73,50000000,22.91,30.13,7.219999999999999,17.07,29.27,12.2,17.11,29.82,12.71,22.92,29.62,6.699999999999999,16.92,28.36,11.439999999999998,,
